Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72,series-73,series-74,series-75,series-76,series-77,series-78,series-79,series-80,series-81,series-82,series-83,series-84,series-85,series-86,series-87,series-88,series-89,series-90
2015-07-01,1124911,1094599,950528,895063,882603,1133217,919164,1012398,1111857,1105216,557123,535466,508619,846119,529983,459755,4140164,667182,530921,571742,274293,242461,278463,261191,1862519,379801,233735,220954,220556,215940,281856,3365111,296930,267271,792971,300772,297747,304304,304220,310918,45142,44883,42137,41245,158395,90396,29437,46121,24696,26421,264028,458238,302068,259879,249982,262199,314683,271253,266128,1926817,546887,460103,563514,497992,526093,660530,954856,522597,484675,539229,192684,182109,220692,185217,242903,155890,132734,186497,151876,187070,19369,10936,20568,10457,20108,10286,15471,7012,6720,10756
2015-07-02,1185067,1089683,921668,1009488,899151,1108631,961996,1087777,984840,1078321,526590,519943,473169,799738,504208,441167,4129826,524066,502213,618778,269199,287196,285685,237853,1884959,401403,231088,232103,228287,207085,263261,3345461,276084,251172,764002,305969,298692,293271,338992,300364,47878,43023,43157,45801,155919,87095,31155,52463,25451,25603,250839,466055,306385,260620,244873,265852,330714,277595,313401,1859753,515886,471656,540803,442864,548425,610427,939764,526020,547591,589682,191717,173501,213782,188283,235008,169593,127370,178512,149604,254351,19528,10584,27653,10281,21390,10427,15806,7038,6727,12359
2015-07-03,1009713,1107112,893070,912086,882802,1157758,916675,1028280,988778,1049865,484906,462590,421394,692571,441529,386192,4160103,487890,431580,565816,243260,274868,255399,218430,1826241,383319,234480,210771,218318,201450,269828,3291671,289405,249918,685820,278418,274915,283948,312268,273160,43531,37500,53270,37703,153904,78522,27768,60911,24971,26255,248376,424143,302621,258528,238641,272638,334463,271897,316535,1559450,561074,483854,478969,683258,537236,679477,1042788,510268,499353,515953,199995,175529,220159,190134,228246,155054,131510,175911,153640,242021,17197,8685,20455,9245,14879,9392,15003,6905,6506,11140
2015-07-04,975221,1142527,873749,903345,861999,1158446,1022921,1041738,966049,1109403,490497,387418,403374,565483,391363,334949,3774918,732812,421196,459023,253732,231021,238564,225134,2185626,356685,238977,230964,226075,200541,288751,3019534,285507,225520,565561,274407,236953,266059,263477,257553,42773,38657,40610,35124,111627,70666,25752,39969,22174,22999,248031,381965,350930,252224,260048,265132,329036,263298,255724,1421991,702601,572473,700191,789779,650727,865055,1149660,759774,667833,791634,189239,183642,215330,192432,243141,152417,131013,174562,204325,160346,12967,7910,20443,7589,14206,8793,13499,6225,6374,10199
2015-07-05,1063136,1136648,928486,981824,946634,1302935,1092843,1036610,1141132,1102162,582511,453038,474066,653578,446173,365002,3876531,730728,497014,462362,274944,266408,277738,237484,1852079,381042,250039,286342,243870,234589,334438,3253553,321860,296530,713141,333263,317054,366963,319650,365093,54082,35566,38994,34325,125508,80333,26317,53940,23344,23331,277575,396878,330635,264691,258869,287152,366156,296564,266755,1522794,670080,580081,683692,709645,550001,756510,1075855,620243,787829,1132047,190388,221289,246844,213558,248033,208630,133738,181639,186439,159457,15075,9753,18752,8523,16596,10154,13968,7121,8350,12260
2015-07-06,1139316,1170506,994829,1091970,1011675,1319961,1132042,1068173,1604994,1177340,602891,584048,519945,850939,516285,466239,4318946,663960,585855,568545,302214,302456,302400,253807,1861368,401166,241239,249911,246619,288687,342729,3645333,309548,311376,883810,321988,376625,363396,372540,340407,55946,38796,44656,39432,167944,90263,30871,52438,27058,27154,291092,372255,368779,291122,298903,312114,385942,298462,331501,1649891,534081,480044,542727,591783,531706,678392,1134708,542041,649725,822523,199514,212814,226668,199278,245811,156418,132966,180314,187663,301940,19059,11484,19655,10559,18080,12337,16646,7820,8735,17240
2015-07-07,1177669,1164279,968885,1121151,964060,1250753,1063723,1189820,1109646,1135775,561491,583772,513413,810246,507697,480322,4279015,557623,572581,592432,302287,318816,293858,248590,1813187,381825,238334,230624,249227,229418,320345,3481064,302876,298759,886737,321104,356600,357304,405001,349282,49635,39650,56002,40934,176664,94205,30585,39843,29131,56181,292483,331717,361747,308848,255142,286516,365885,328716,354061,1608588,552081,441005,519877,581951,560785,671083,1148107,536192,573374,623486,202445,198942,231982,207922,272580,154941,134576,181827,174764,307457,21578,11771,26411,11138,18559,12673,17967,8521,9429,15182
2015-07-08,1254393,1167617,946521,1006082,985081,1212429,1050328,1207177,1018085,1089191,526228,557200,496408,838276,512381,456103,4158304,527579,559300,559478,294184,282743,265691,273022,1809127,385236,249585,226943,236940,223985,332761,3464952,343793,298126,873430,320396,335816,410883,404492,371877,77180,37187,44371,39373,163957,92258,30809,80507,25721,54452,310119,355109,327145,340424,256158,275786,351987,301341,327376,1615638,660795,489552,547491,524485,547920,627425,1000459,521669,606695,582934,194934,183932,227700,200449,272343,177636,162908,177080,172980,270113,18389,10966,22128,10727,18019,10944,16978,7597,7928,13393
2015-07-09,1283246,1125363,953896,919406,1004629,1176448,993982,1175221,1028541,1227124,548644,528344,478331,788300,484902,443533,4108392,492634,525287,559118,264593,241366,267752,262289,1826056,413787,248663,233736,245767,216571,318674,3411098,319141,292799,850489,333078,340348,346018,360473,352443,54516,34130,45287,39053,155856,90106,29598,54277,24894,45807,296328,422245,339886,354749,271624,280927,345284,326392,301595,1648118,622448,472797,616682,456789,553563,703021,956504,487182,524503,609676,207391,213563,250947,230876,259418,163029,144243,195052,178975,209589,17618,9928,17543,9095,15777,9332,14573,6101,5608,15733
2015-07-10,1230647,1112544,911438,971904,987710,1149680,1035210,1292906,1035038,1129636,456143,480176,422314,691794,460025,388699,4073816,436345,455078,495746,241645,227718,234461,230601,1764074,383897,218702,208990,221113,193497,283871,3294985,288194,276480,732073,302075,289996,311491,343168,314217,63220,34006,45671,36179,142761,87307,28816,49994,26749,25115,383753,527709,408746,388353,323127,333675,458961,370201,347898,1708683,616093,557224,507023,473653,506686,744890,1098201,483734,564561,547952,197683,229202,279255,229397,259516,169817,156894,206457,188996,194884,17630,9935,31624,10018,16507,10468,16332,7091,7222,12566
2015-07-11,1299125,1138696,914490,1034340,973784,1274458,1055369,1190116,1216421,1318810,377159,429193,359797,586435,403232,366565,3790195,376686,395142,438606,254477,223313,253092,258898,1676839,363443,222390,222418,245595,212087,259521,2993760,314414,358575,596832,273251,269384,288054,346609,287418,41959,28907,40398,30659,115005,74141,25785,35145,22581,24445,333756,496818,408268,339350,299504,355432,394894,354910,334671,1561541,561705,526681,559584,526688,660840,777849,1021945,553772,577423,612865,177423,213163,261238,207624,246290,174982,147512,186961,185714,200448,10291,6305,19614,6418,12536,6742,10895,4619,4515,7552
